, 4th of(event, time)
, 4th of(time, time)
, accompany by(effect, effect)
, adjacent to(state, place)
, angioplasty with(procedure, procedure)
, base in(agency, city)
, base in(agency, country)
, base in(body, city)
, base in(client, city)
, base in(company, area)
, base in(company, center)
, base in(company, city)
, base in(company, community)
, base in(company, country)
, base in(company, destination)
, base in(company, location)
, base in(company, place)
, base in(company, state)
, base in(company, town)
, base in(corporation, city)
, base in(corporation, place)
, base in(country, city)
, base in(employer, city)
, base in(engine, city)
, base in(engine, place)
, base in(firm, area)
, base in(firm, place)
, base in(institution, city)
, base in(institution, country)
, base in(leader, area)
, base in(leader, city)
, base in(leader, community)
, base in(leader, country)
, base in(leader, place)
, base in(leader, state)
, base in(leader, town)
, base in(manufacturer, city)
, base in(member, city)
, base in(member, country)
, base in(member, place)
, base in(organisation, city)
, base in(organisation, country)
, base in(organisation, place)
, base in(organization, area)
, base in(organization, city)
, base in(organization, community)
, base in(organization, country)
, base in(organization, place)
, base in(organization, state)
, base in(organization, town)
, base in(partner, city)
, base in(place, city)
, base in(practice, city)
, base in(provider, area)
, base in(provider, city)
, base in(provider, community)
, base in(provider, place)
, base in(provider, state)
, base in(provider, town)
, base in(service, city)
, base in(service, state)
, base in(site, city)
, base in(source, city)
, base in(state, city)
, base in(subsidiary, country)
, base in(system, city)
, base on(browser, browser)
, base out of(institution, city)
, bear in(artist, city)
, bear in(time, state)
, bind for(city, city)
, bind for(city, country)
, bind for(place, city)
, bind for(state, area)
, bind for(state, city)
, bind for(state, place)
, bound by(country, system)
, broadcast from(event, city)
, cause by(disease, agent)
, cause by(disease, cause)
, cause by(disease, disease)
, cause by(disease, factor)
, characterize by(disease, effect)
, combine with(treatment, treatment)
, compose of(material, mineral)
, connect in(state, city)
, connect to(city, city)
, coordinate with(treatment, procedure)
, develop by(drug, company)
, develop by(technology, browser)
, educate at(state, university)
, endanger in(state, state)
, establish by(organization, organization)
, express in(disease, animal)
, follow by(animal, animal)
, follow by(city, city)
, follow by(city, place)
, follow by(country, country)
, follow by(country, destination)
, follow by(country, place)
, follow by(country, state)
, follow by(disease, disease)
