, base in(agency, city)
, base in(agency, country)
, base in(association, city)
, base in(body, city)
, base in(business, city)
, base in(client, city)
, base in(company, area)
, base in(company, center)
, base in(company, city)
, base in(company, community)
, base in(company, country)
, base in(company, destination)
, base in(company, location)
, base in(company, place)
, base in(company, state)
, base in(company, town)
, base in(company, village)
, base in(corporation, city)
, base in(corporation, place)
, base in(country, city)
, base in(employer, city)
, base in(engine, city)
, base in(engine, place)
, base in(firm, area)
, base in(firm, city)
, base in(firm, community)
, base in(firm, place)
, base in(firm, town)
, base in(institution, city)
, base in(institution, country)
, base in(leader, area)
, base in(leader, city)
, base in(leader, community)
, base in(leader, country)
, base in(leader, place)
, base in(leader, state)
, base in(leader, town)
, base in(manufacturer, city)
, base in(member, city)
, base in(member, country)
, base in(member, place)
, base in(organisation, city)
, base in(organisation, country)
, base in(organisation, place)
, base in(organization, area)
, base in(organization, city)
, base in(organization, community)
, base in(organization, country)
, base in(organization, place)
, base in(organization, state)
, base in(organization, town)
, base in(partner, city)
, base in(place, city)
, base in(practice, area)
, base in(practice, city)
, base in(practice, place)
, base in(provider, area)
, base in(provider, city)
, base in(provider, community)
, base in(provider, place)
, base in(provider, state)
, base in(provider, town)
, base in(service, city)
, base in(service, state)
, base in(site, city)
, base in(source, city)
, base in(state, city)
, base in(store, city)
, base in(subsidiary, city)
, base in(subsidiary, country)
, base in(subsidiary, town)
, base in(supplier, city)
, base in(system, city)
, base out of(institution, city)
, compose of(material, mineral)
, headquarter in(agency, city)
, headquarter in(company, area)
, headquarter in(company, city)
, headquarter in(company, community)
, headquarter in(company, country)
, headquarter in(company, place)
, headquarter in(company, state)
, headquarter in(company, town)
, headquarter in(corporation, city)
, headquarter in(employer, city)
, headquarter in(firm, city)
, headquarter in(firm, place)
, headquarter in(leader, city)
, headquarter in(leader, place)
, headquarter in(leader, town)
, headquarter in(manufacturer, city)
, headquarter in(member, city)
, headquarter in(organization, area)
, headquarter in(organization, city)
, headquarter in(organization, community)
, headquarter in(organization, place)
, headquarter in(organization, state)
, headquarter in(provider, area)
, headquarter in(provider, city)
, headquarter in(provider, place)
, headquarter in(provider, town)
, headquarter in(subsidiary, city)
, headquarter in(supplier, city)
, headquarter in(supplier, state)
, headquarter in(tool, city)
, hold in(event, city)
, hold in(event, time)
, host by(state, organization)
, know as(acid, acid)
, know as(activity, sport)
, know as(agency, agency)
, know as(agent, drug)
, know as(art, art)
, know as(cause, disease)
, know as(city, city)
, know as(city, institution)
, know as(city, place)
, know as(city, system)
, know as(city, town)
, know as(company, company)
, know as(country, country)
, know as(country, destination)
, know as(crop, crop)
, know as(crop, food)
, know as(crop, plant)
, know as(crop, vegetable)
, know as(directory, directory)
, know as(disease, cause)
, know as(disease, complication)
, know as(disease, development)
, know as(disease, disease)
, know as(disease, disorder)
, know as(disease, effect)
, know as(disease, factor)
, know as(disease, illness)
, know as(disease, infection)
, know as(disease, risk)
, know as(disorder, disease)
, know as(disorder, disorder)
, know as(disorder, effect)
, know as(disorder, illness)
, know as(drug, agent)
, know as(drug, drug)
, know as(drug, hormone)
, know as(drug, inhibitor)
, know as(drug, medication)
, know as(drug, treatment)
, know as(drug, use)
, know as(effect, effect)
, know as(factor, disease)
, know as(factor, disorder)
, know as(factor, factor)
, know as(fish, fish)
, know as(fruit, fruit)
, know as(game, game)
, know as(herb, herb)
, know as(herb, ingredient)
, know as(herb, member)
, know as(herb, plant)
, know as(herb, source)
, know as(herb, tree)
, know as(hormone, drug)
, know as(hormone, hormone)
, know as(hotel, city)
, know as(illness, disease)
, know as(illness, disorder)
, know as(illness, illness)
, know as(illness, infection)
, know as(infection, disease)
, know as(infection, illness)
, know as(infection, infection)
, know as(infection, material)
, know as(ingredient, herb)
, know as(ingredient, ingredient)
, know as(ingredient, plant)
, know as(inhibitor, drug)
, know as(inhibitor, inhibitor)
, know as(inhibitor, medication)
, know as(island, island)
, know as(material, material)
, know as(medication, agent)
, know as(medication, drug)
, know as(medication, inhibitor)
, know as(medication, medication)
, know as(member, herb)
, know as(member, plant)
, know as(member, vitamin)
, know as(mineral, mineral)
, know as(nutrient, nutrient)
, know as(nutrient, vitamin)
, know as(organization, organization)
, know as(plant, crop)
, know as(plant, drug)
, know as(plant, herb)
, know as(plant, member)
, know as(plant, plant)
, know as(plant, source)
, know as(plant, vegetable)
, know as(practice, practice)
, know as(procedure, procedure)
, know as(procedure, treatment)
, know as(process, disease)
, know as(process, process)
, know as(protein, hormone)
, know as(protein, protein)
, know as(provider, provider)
, know as(risk, disease)
, know as(service, service)
, know as(source, source)
, know as(source, vitamin)
, know as(sport, sport)
, know as(state, area)
, know as(state, club)
, know as(state, place)
, know as(system, system)
, know as(technology, technology)
, know as(time, time)
, know as(treatment, practice)
, know as(treatment, procedure)
, know as(treatment, treatment)
, know as(tree, fruit)
, know as(tree, tree)
, know as(use, drug)
, know as(vegetable, vegetable)
, know as(vitamin, member)
, know as(vitamin, mineral)
, know as(vitamin, nutrient)
, know as(vitamin, source)
, know as(vitamin, substance)
, know as(vitamin, vitamin)
, know generically as(drug, drug)
, know generically as(drug, inhibitor)
, know generically as(inhibitor, drug)
, know generically as(inhibitor, inhibitor)
, know generically as(medication, drug)
